,Pos,Swim,T1,Bike,T2,Run,Time,Gender,AgeGroup
0,1,1370,87,7321,112,4285,13175,1,9
1,2,1413,90,7494,92,4334,13423,1,9
2,3,1377,74,7552,121,4463,13587,1,9
3,4,1370,91,7700,116,4413,13690,1,9
4,5,1378,109,7511,127,4641,13766,1,9
5,6,1519,101,7818,97,4237,13772,1,9
6,7,1390,84,7772,104,4484,13834,1,9
7,8,1535,104,7801,118,4397,13955,1,9
9,10,1556,159,7847,158,4317,14036,1,1
10,11,1444,76,8057,89,4419,14085,1,9
11,12,1382,91,7814,127,4795,14209,1,9
12,13,1574,121,7757,122,4647,14221,1,9
13,14,1451,86,8056,122,4565,14280,1,9
14,15,1516,97,7964,121,4590,14288,1,9
15,16,1514,77,7860,113,4738,14302,1,9
16,17,1642,90,7536,100,4953,14321,1,9
17,18,1519,107,7818,117,4768,14329,1,9
18,19,1615,105,8054,127,4471,14371,1,1
19,20,1720,90,7760,111,4756,14437,1,9
20,21,1643,100,8088,103,4520,14454,1,9
21,22,1622,127,8167,113,4531,14560,1,9
22,23,1749,110,7814,132,4801,14606,1,4
23,24,1447,93,8095,120,4870,14625,1,9
24,25,1379,94,7891,107,5163,14633,1,1
25,26,1520,154,8014,150,4812,14649,1,1
26,27,1523,99,7378,110,5544,14654,1,9
27,28,1740,117,7874,145,4797,14672,1,1
28,29,1553,131,8068,158,4823,14733,1,9
29,30,1579,89,8244,102,4796,14810,0,9
30,31,1754,94,8060,114,4792,14814,1,1
31,32,1376,96,7989,119,5342,14922,1,9
32,33,1654,116,7897,164,5103,14934,1,9
33,34,1621,80,8115,113,5011,14940,1,9
34,35,1724,98,8231,104,4807,14963,1,0
35,36,1540,100,8346,109,4873,14968,1,9
36,37,1627,99,8291,151,4868,15036,1,9
37,38,1880,197,8120,144,4702,15043,1,2
38,39,1778,100,8276,116,4793,15063,1,2
39,40,1666,125,8277,191,4829,15088,1,5
40,41,1952,105,8389,140,4505,15091,1,9
41,42,1855,151,8101,134,4880,15121,1,2
42,43,1817,110,8095,116,5061,15198,1,3
43,44,1837,142,8065,134,5120,15297,1,2
44,45,1524,100,8437,163,5093,15317,1,9
45,46,1737,93,8448,117,4942,15337,0,9
46,47,1798,118,8460,119,4862,15357,1,1
47,48,1850,142,8327,146,4897,15361,1,2
48,49,1855,100,8247,113,5055,15370,1,2
49,50,1651,105,8558,126,4981,15421,1,9
50,51,1710,170,8530,131,4890,15430,1,2
51,52,1889,148,8382,189,4832,15439,1,5
52,53,1741,87,8558,125,4952,15463,0,9
53,54,1867,193,8215,146,5131,15551,1,1
54,55,1719,145,8701,156,4849,15569,1,4
55,56,1890,113,8408,156,5012,15578,1,4
56,57,1797,124,7992,129,5567,15609,1,3
57,58,1578,95,8711,129,5115,15628,0,9
58,59,1872,128,8409,153,5083,15645,1,5
59,60,1764,111,8488,128,5172,15663,1,4
60,61,2033,127,8454,135,4915,15664,1,1
61,62,1629,111,8599,380,4952,15671,1,1
62,63,1737,122,8829,126,4877,15691,0,9
63,64,1689,118,8616,112,5160,15695,1,3
64,65,1874,219,8347,116,5147,15703,1,1
65,66,1834,161,8357,126,5226,15703,1,3
66,67,1688,129,8569,135,5202,15723,1,0
67,68,1554,104,9085,123,4857,15723,1,9
68,69,1863,167,8115,153,5434,15732,1,0
69,70,1984,109,8497,130,5022,15741,1,4
70,71,1903,138,8075,187,5449,15752,1,4
71,72,1522,133,8906,119,5073,15753,1,3
72,73,1826,157,8511,132,5141,15767,1,2
73,74,1985,120,8467,130,5071,15772,1,5
74,75,1891,151,8717,142,4876,15777,1,1
75,76,2029,154,8122,159,5349,15812,1,5
76,77,1869,141,8539,175,5094,15818,1,5
77,78,2059,136,8598,166,4866,15825,1,3
78,79,1866,146,8454,126,5254,15846,1,0
79,80,1841,153,8437,177,5243,15851,1,3
80,81,1881,106,8703,132,5055,15877,0,9
81,82,1685,134,8551,381,5142,15893,1,6
82,83,1999,172,8602,146,4985,15904,1,5
83,84,1629,123,8681,143,5329,15904,1,4
84,85,1732,144,8568,196,5268,15908,1,3
85,86,1975,180,8493,177,5093,15917,1,2
86,87,1677,120,8894,113,5136,15939,1,1
87,88,1922,188,8077,197,5560,15943,1,0
88,89,2062,151,8523,120,5097,15952,1,3
89,90,1594,93,9081,122,5063,15953,0,9
90,91,1830,141,8435,107,5442,15954,1,4
91,92,1934,93,8375,137,5425,15963,1,2
92,93,1901,147,8763,108,5049,15968,1,3
93,94,1835,132,8344,155,5506,15971,1,2
94,95,1737,87,8565,113,5487,15989,0,9
95,96,1835,127,8537,134,5361,15993,1,3
96,97,2253,166,8316,213,5047,15995,1,2
97,98,1758,138,8472,143,5494,16005,1,3
98,99,1957,90,8312,180,5479,16018,1,3
99,100,2252,202,8436,139,4998,16027,1,3
100,101,1923,95,8770,125,5123,16036,0,2
101,102,2035,134,8645,134,5099,16046,1,3
102,103,1950,122,8576,159,5243,16050,1,3
103,104,1766,142,8444,182,5522,16056,1,3
104,105,2019,145,8568,151,5175,16058,1,2
105,106,2004,126,8538,169,5222,16059,1,3
106,107,1827,103,8820,146,5170,16066,1,5
107,108,1821,165,9016,195,4870,16066,0,0
108,109,2102,152,8230,137,5471,16092,1,4
109,110,1727,107,8502,151,5607,16093,1,2
110,111,1940,117,8882,154,5005,16098,1,4
111,112,1981,145,8392,149,5434,16100,1,1
112,113,1894,121,8384,156,5564,16118,1,3
113,114,1809,122,8694,166,5337,16127,1,6
114,115,1852,151,8292,169,5668,16132,1,2
115,116,1977,149,8360,128,5519,16133,1,3
116,117,1860,129,8868,186,5115,16157,1,2
117,118,2233,168,8432,225,5154,16211,1,2
118,119,1742,106,8713,123,5528,16212,0,9
119,120,1717,161,8250,159,5931,16217,1,4
120,121,2034,121,8785,149,5131,16220,1,4
121,122,2210,184,8849,146,4844,16232,1,1
122,123,1635,97,8778,122,5601,16232,1,5
123,124,1913,125,8592,132,5479,16240,1,1
124,125,2092,171,8587,139,5276,16264,1,4
125,126,1744,109,8525,121,5769,16268,1,3
126,127,1790,97,8795,365,5228,16274,1,1
127,128,1990,103,8708,128,5355,16283,1,2
128,129,1801,170,8696,176,5442,16284,1,4
129,130,1898,117,8590,381,5300,16285,1,4
130,131,1718,142,8770,357,5303,16290,1,2
131,132,1993,158,8570,146,5424,16291,1,3
132,133,2226,147,8634,142,5145,16294,1,4
133,134,1922,189,8494,228,5486,16318,1,1
134,135,2094,91,8945,113,5082,16325,0,9
135,136,1901,116,8387,139,5789,16332,1,3
136,137,2037,151,8586,157,5420,16351,1,3
137,138,1944,116,8421,147,5732,16360,1,1
138,139,2101,136,8907,139,5078,16361,1,4
139,140,2029,119,8793,107,5314,16361,1,3
140,141,1808,133,9248,156,5021,16366,1,1
141,142,2012,126,8743,140,5361,16382,1,4
142,143,2094,125,8366,156,5653,16394,1,5
143,144,2014,190,8524,132,5566,16426,1,3
144,145,2129,183,8771,432,4915,16430,1,3
145,146,1826,125,8690,130,5674,16444,1,4
146,147,1756,210,8797,206,5515,16484,1,1
147,148,1961,119,8752,108,5546,16485,1,1
148,149,1762,141,8606,159,5819,16487,1,5
149,150,1590,153,8894,250,5610,16496,1,4
150,151,2176,104,8626,135,5467,16507,1,4
151,152,1587,101,8788,115,5936,16526,1,2
152,153,1625,155,9326,142,5280,16527,0,2
153,154,2175,167,8698,177,5334,16551,1,4
154,155,1950,197,8879,175,5354,16554,1,2
155,156,2069,168,8858,162,5306,16563,1,4
156,157,1939,130,8592,208,5707,16575,1,2
157,158,1961,136,8833,162,5489,16581,1,4
158,159,1850,138,8916,174,5505,16582,1,5
159,160,1878,111,8800,146,5659,16594,1,2
160,161,1968,146,8950,149,5383,16595,1,3
161,162,1906,156,8869,133,5539,16603,1,4
162,163,2046,294,9010,108,5170,16628,1,1
163,164,1950,139,8836,164,5540,16628,1,4
164,165,1713,108,8858,191,5767,16636,1,5
165,166,1883,177,9046,234,5297,16636,1,2
166,167,1989,116,8964,160,5408,16636,1,3
167,168,1958,193,8516,166,5827,16660,1,4
168,169,2280,135,8872,169,5207,16663,1,4
169,170,2147,202,9108,174,5033,16664,1,3
170,171,2014,143,8920,189,5404,16669,1,2
171,172,2113,100,8653,137,5669,16672,1,1
172,173,2166,133,8892,145,5353,16688,1,3
173,174,2179,130,8914,126,5342,16690,1,4
174,175,1943,201,8855,148,5546,16692,1,5
175,176,1882,122,9089,135,5473,16701,1,3
176,177,1987,147,9353,151,5071,16708,1,3
177,178,2223,189,8717,137,5448,16713,1,4
178,179,1990,129,8863,211,5524,16716,1,3
179,180,2152,129,8647,191,5602,16720,1,4
180,181,1790,149,8934,204,5644,16721,1,5
181,182,1759,175,9322,128,5340,16723,1,2
182,183,1889,177,8673,177,5808,16723,1,4
183,184,1730,125,9149,126,5596,16726,1,3
184,185,2284,252,8748,151,5300,16735,1,2
185,186,1906,160,9060,149,5460,16735,1,2
186,187,1818,154,9067,141,5561,16740,1,5
187,188,1929,122,8824,166,5710,16751,1,3
188,189,1856,159,8780,180,5786,16760,1,1
189,190,2144,228,8700,165,5529,16766,1,2
190,191,2221,136,9029,141,5241,16768,1,3
191,192,1690,171,8848,148,5912,16768,1,1
192,193,1856,141,8886,180,5709,16772,1,5
193,194,2085,129,8922,138,5503,16777,1,3
194,195,1986,126,8985,143,5554,16794,1,3
195,196,2107,131,8984,128,5451,16800,1,3
196,197,1568,158,9136,171,5783,16816,1,0
197,198,2297,105,8474,111,5835,16822,1,2
198,199,2038,116,8632,142,5895,16822,1,3
199,200,1813,145,8823,181,5868,16830,1,4
200,201,1948,159,8531,157,6040,16835,1,1
201,202,2329,231,8913,158,5205,16836,1,6
202,203,2085,123,9084,128,5420,16840,1,2
203,204,2193,165,8999,227,5258,16841,1,2
204,205,2143,125,9051,185,5354,16857,1,2
205,206,2068,171,9062,153,5409,16862,1,3
206,207,1875,151,9180,135,5528,16869,1,3
207,208,1931,202,9066,206,5466,16871,1,4
208,209,1957,207,8518,187,6003,16872,1,4
209,210,1984,168,8679,149,5897,16876,1,4
210,211,1947,258,9014,204,5455,16877,1,3
211,212,2124,198,9056,155,5347,16880,1,4
212,213,2136,182,9199,144,5221,16882,1,1
213,214,2051,132,8972,195,5555,16905,1,5
214,215,1957,206,8961,178,5605,16906,1,2
215,216,2064,151,9146,185,5363,16909,1,9
216,217,1991,147,9117,158,5496,16909,1,4
